ID,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build,,,
126,Mercedes-Benz,2015,Foreign Used,39662,3500,Petrol,Automatic,14560000.00,SUV,,,
127,Porsche,2004,Foreign Used,359713,4500,Petrol,Automatic,4200000.00,SUV,,,
128,Mercedes-Benz,2010,Nigerian Used,96957,3500,Petrol,Automatic,6240000.00,SUV,,,
129,Toyota,2014,Foreign Used,65308,2000,Petrol,Automatic,9450000.00,Not SUV,,,
130,Lexus,2007,Foreign Used,198969,2500,Petrol,Automatic,4992000.00,Not SUV,,,
131,Toyota,2007,Foreign Used,149184,4000,Petrol,Automatic,6448000.00,SUV,,,
132,Lexus,2009,Foreign Used,173307,3500,Petrol,Automatic,4500000.00,Not SUV,,,
133,Toyota,2009,Foreign Used,208827,2400,Petrol,Automatic,3952000.00,Not SUV,,,
134,Lexus,2006,Foreign Used,376865,3500,Petrol,Automatic,4680000.00,Not SUV,,,
135,Lexus,2014,Foreign Used,139592,4600,Petrol,Automatic,23920000.00,SUV,,,
136,Lexus,2008,Nigerian Used,97315,3200,Petrol,Automatic,3640000.00,Not SUV,,,
137,Lexus,2010,Nigerian Used,140073,3500,Petrol,Automatic,4784000.00,Not SUV,,,
138,Toyota,2015,Foreign Used,96531,3500,Petrol,Automatic,10290000.00,Not SUV,,,
139,Acura,2011,Nigerian Used,78613,3700,Petrol,Automatic,6240000.00,SUV,,,
140,Lexus,2006,Foreign Used,100763,3000,Petrol,Automatic,3150000.00,Not SUV,,,
142,Toyota,2007,Nigerian Used,104336,2400,Petrol,Automatic,3328000.00,SUV,,,
143,Lexus,2007,Foreign Used,65060,3500,Petrol,AMT,3885000.00,Not SUV,,,
144,Mercedes-Benz,2007,Nigerian Used,1966,35,Petrol,Automatic,5720000.00,SUV,,,
145,Toyota,2017,Foreign Used,107748,2500,Petrol,Automatic,12600000.00,SUV,,,
146,Lexus,2011,Foreign Used,137902,3000,Petrol,Automatic,4992000.00,Not SUV,,,
147,Mercedes-Benz,2009,Nigerian Used,121829,4600,Petrol,Automatic,5720000.00,SUV,,,
148,Mercedes-Benz,2010,Nigerian Used,96957,3500,Petrol,Automatic,6240000.00,SUV,,,
149,Mercedes-Benz,2013,Foreign Used,232813,4700,Petrol,Automatic,14560000.00,Not SUV,,,
150,Lexus,2007,Foreign Used,124511,3500,Petrol,Automatic,4200000.00,Not SUV,,,
152,Lexus,2015,Nigerian Used,24855,3500,Petrol,Automatic,10920000.00,SUV,,,
153,Land Rover,2006,Foreign Used,213515,4400,Petrol,Automatic,3150000.00,SUV,,,
154,Toyota,2011,Nigerian Used,114388,4000,Petrol,Automatic,10500000.00,SUV,,,
155,Mercedes-Benz,2008,Foreign Used,227689,3500,Petrol,Automatic,3885000.00,Not SUV,,,
156,Toyota,2010,Foreign Used,236601,2500,Petrol,Automatic,6448000.00,SUV,,,
157,Land Rover,2016,Foreign Used,102429,35,Petrol,Automatic,36750000.00,SUV,,,
158,Toyota,2017,Foreign Used,107748,2500,Petrol,Automatic,12600000.00,SUV,,,
159,Lexus,2006,Foreign Used,100763,3000,Petrol,Automatic,3150000.00,Not SUV,,,
160,Mercedes-Benz,2011,Nigerian Used,112122,4700,Petrol,Automatic,6760000.00,SUV,,,
161,Lexus,2007,Nigerian Used,170778,3300,Petrol,Automatic,4680000.00,SUV,,,
162,Lexus,2004,Nigerian Used,98430,4700,Petrol,Automatic,4680000.00,SUV,,,
163,Toyota,2008,Foreign Used,93474,3500,Petrol,Automatic,6300000.00,SUV,,,
164,Toyota,2011,Foreign Used,211357,2500,Petrol,Automatic,4515000.00,Not SUV,,,
165,Mercedes-Benz,2015,Foreign Used,168946,3500,Petrol,Automatic,17680000.00,SUV,,,
166,Toyota,2015,Nigerian Used,67161,2500,Petrol,Automatic,10400000.00,SUV,,,
167,Lexus,2007,Foreign Used,104138,3500,Petrol,Automatic,5928000.00,SUV,,,
168,Toyota,2010,Foreign Used,158684,2500,Petrol,Automatic,3780000.00,Not SUV,,,
169,Mercedes-Benz,2012,Foreign Used,165585,3500,Petrol,Automatic,13520000.00,SUV,,,
170,Toyota,2008,Nigerian Used,118743,3500,Petrol,Automatic,4784000.00,SUV,,,
171,Toyota,2010,Foreign Used,131164,2700,Petrol,Automatic,6090000.00,SUV,,,
172,Toyota,2009,Foreign Used,168603,2500,Petrol,Automatic,4620000.00,SUV,,,
173,Lexus,2009,Foreign Used,246462,3500,Petrol,Automatic,5200000.00,Not SUV,,,
174,Mercedes-Benz,2006,Nigerian Used,231361,5000,Petrol,Automatic,3675000.00,Not SUV,,,
175,Land Rover,2014,Nigerian Used,56908,5000,Petrol,Automatic,26000000.00,SUV,,,
176,Lexus,2008,Foreign Used,200262,35000,Petrol,Automatic,4680000.00,Not SUV,,,
177,Toyota,2009,Nigerian Used,205371,3500,Petrol,Automatic,7072000.00,SUV,,,
178,Mercedes-Benz,2006,Nigerian Used,380097,5000,Petrol,Automatic,5200000.00,SUV,,,
179,Mercedes-Benz,2015,Foreign Used,39662,3500,Petrol,Automatic,14560000.00,SUV,,,
180,Lexus,2001,Foreign Used,199731,3000,Petrol,Automatic,3150000.00,SUV,,,
181,Lexus,2008,Foreign Used,85901,3500,Petrol,Automatic,3885000.00,Not SUV,,,
182,Toyota,2005,Foreign Used,260730,4700,Petrol,Automatic,4992000.00,SUV,,,
183,Toyota,2007,Foreign Used,274477,2400,Petrol,Automatic,3640000.00,Not SUV,,,
184,Toyota,2011,Nigerian Used,114388,4000,Petrol,Automatic,10500000.00,SUV,,,
185,Toyota,2011,Foreign Used,166839,2500,Petrol,Automatic,4160000.00,Not SUV,,,
187,Toyota,2014,Foreign Used,70649,3500,Petrol,Automatic,8400000.00,SUV,,,
189,Mercedes-Benz,2008,Nigerian Used,650,4000,Petrol,Automatic,6760000.00,SUV,,,
190,Acura,2011,Nigerian Used,90726,3700,Petrol,Automatic,4200000.00,SUV,,,
191,Toyota,2013,Nigerian Used,79393,4700,Petrol,Automatic,26000000.00,SUV,,,
192,Lexus,2004,Nigerian Used,98430,4700,Petrol,Automatic,4680000.00,SUV,,,
193,Toyota,2010,Foreign Used,237886,2400,Petrol,Automatic,3675000.00,Not SUV,,,
194,Lexus,2006,Nigerian Used,144513,3300,Petrol,Automatic,3744000.00,SUV,,,
195,Toyota,2015,Nigerian Used,67161,2500,Petrol,Automatic,10400000.00,SUV,,,
196,Mercedes-Benz,2016,Nigerian Used,62476,3500,Petrol,Automatic,15750000.00,Not SUV,,,
197,Lexus,2008,Nigerian Used,224605,4600,Petrol,Automatic,4725000.00,Not SUV,,,
198,Toyota,2016,Foreign Used,149753,2500,Hybrid,Automatic,5985000.00,Not SUV,,,
199,Toyota,2013,Foreign Used,169183,2700,Petrol,Automatic,8610000.00,Not SUV,,,
200,Mercedes-Benz,2013,Foreign Used,222344,3500,Petrol,Automatic,8925000.00,SUV,,,
201,Toyota,2011,Foreign Used,93785,3000,Petrol,Automatic,8528000.00,SUV,,,
202,Mercedes-Benz,2010,Nigerian Used,299309,4600,Petrol,Automatic,5775000.00,SUV,,,
