"","ID","Make","Year","Condition","Mileage","Engine.Size","Fuel","Transmission","Price","Build","Selling.Rate"
"2569",3239,"Honda",2007,2,387617,3500,"Petrol","Automatic",2690000,"Not SUV",108.223808169935
"2570",3240,"Honda",2000,3,108559,3500,"Petrol","Automatic",1040000,"Not SUV",53.2519
"2571",3241,"Peugeot",2014,3,66988,2400,"Petrol","Automatic",3885000,"Not SUV",122.119956480118
"2572",3242,"Toyota",2003,2,299999,1800,"Petrol","Automatic",2520000,"Not SUV",120.808438283379
"2573",3244,"Mercedes-Benz",2011,2,129709,5500,"Petrol","Automatic",13275000,"SUV",141.992968264463
"2574",3245,"Lexus",2007,3,169032,3300,"Hybrid","Automatic",1575000,"SUV",108.223808169935
"2575",3246,"Toyota",2004,2,342884,1800,"Petrol","Automatic",3125000,"Not SUV",112.832138933951
"2576",3247,"Ford",2007,3,219958,3500,"Petrol","Automatic",2025000,"SUV",108.223808169935
"2577",3248,"Mitsubishi",2008,3,70000,3800,"Petrol","Automatic",1050000,"SUV",106.946299748744
"2578",3250,"Honda",2005,3,325017,3000,"Petrol","Automatic",1155000,"Not SUV",107.90179476082
"2579",3251,"Volkswagen",2009,3,71019,1600,"Petrol","Automatic",1260000,"Not SUV",129.358208061889
"2580",3255,"Toyota",2008,3,107240,3500,"Petrol","Automatic",1680000,"Not SUV",106.946299748744
"2581",3257,"Nissan",2014,3,101533,1500,"Petrol","Manual",1312500,"Not SUV",122.119956480118
"2582",3258,"Lexus",2007,3,169032,3300,"Hybrid","Automatic",1575000,"SUV",108.223808169935
"2583",3259,"Hyundai",2007,3,360863,2000,"Petrol","Manual",1050000,"Not SUV",108.223808169935
"2584",3260,"Toyota",2010,3,324856,1300,"Petrol","AMT",2677500,"Not SUV",130.380254951299
"2585",3261,"Toyota",2005,3,122205,1800,"Petrol","Automatic",1976000,"Not SUV",107.90179476082
"2586",3262,"Toyota",2005,2,335975,1800,"Petrol","Automatic",3150000,"Not SUV",107.90179476082
"2587",3263,"Ford",2005,3,380311,2000,"Petrol","Manual",1050000,"Not SUV",107.90179476082
